scaffold_id,scaffold_name,murcko_smiles,generic_murcko_smiles,source_classes,representative_molecules,best_fxia_activity,median_fxia_activity,activity_tier,selectivity_evidence,pdb_evidence,sar_depth,patent_crowding,synthetic_accessibility,generation_suitability,recommended_generation_methods,key_exit_vectors,known_liabilities,priority_score,decision,notes
FXIA-SCAF-0405,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2n[nH]cc2c1)C(Cc1ccccc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCC2CCCC2C1,ChEMBL activity records,CHEMBL5869959,56 nM,56 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0406,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2n[nH]cc2c1)[C@@H](Cc1ccccc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCC2CCCC2C1,ChEMBL activity records,CHEMBL5907668,5690 nM,5690 nM,Tier D,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0407,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2n[nH]cc2c1)[C@H](Cc1ccccc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCC2CCCC2C1,ChEMBL activity records,CHEMBL5754040,36 nM,36 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0408,ChEMBL Murcko scaffold cluster,O=C(CC1CC1)c1ccccc1-c1ccn(C(Cc2ccccc2)C(=O)Nc2ccccc2)c(=O)c1,CC1CC(C2CCCCC2C(C)CC2CC2)CCC1C(CC1CCCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL6017151,38 nM,38 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0409,ChEMBL Murcko scaffold cluster,O=C(c1ccccc1-c1ccn(C(Cc2ccccc2)C(=O)Nc2ccccc2)c(=O)c1)C1CC1,CC1CC(C2CCCCC2C(C)C2CC2)CCC1C(CC1CCCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5781520,39 nM,39 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0410,ChEMBL Murcko scaffold cluster,O=C(NC1CC1)c1ccc(NC(=O)[C@H](Cc2ccccc2)n2ccc(-c3ccccc3)cc2=O)cc1,CC(CC1CC1)C1CCC(CC(C)C(CC2CCCCC2)C2CCC(C3CCCCC3)CC2C)CC1,ChEMBL activity records,CHEMBL5969711,47 nM,47 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0411,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2nccnc2c1)C(Cc1ccccc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCC2CCCCC2C1,ChEMBL activity records,CHEMBL5814933,69 nM,69 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0412,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2cnccc2c1)C(Cc1ccccc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCC2CCCCC2C1,ChEMBL activity records,CHEMBL5797490,71 nM,71 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0413,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@@H](Cc1ccccn1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5911948,2678 nM,2678 nM,Tier D,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0414,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@@H](Cc1cccnc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5897416,needs_verification,needs_verification,Tier D,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0415,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@H](Cc1cccnc1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL6045182,42 nM,42 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0416,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@@H](Cc1ccn(C2CC2)n1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCC(C2CC2)C1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5819156,7513 nM,7513 nM,Tier D,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0417,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2nccnc2c1)C(Cc1ccn(C2CC2)n1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCC(C2CC2)C1)C(C)CC1CCC2CCCCC2C1,ChEMBL activity records,CHEMBL5821667,32 nM,32 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0418,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2n[nH]cc2c1)C(Cc1ccn(C2CC2)n1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCC(C2CC2)C1)C(C)CC1CCC2CCCC2C1,ChEMBL activity records,CHEMBL5755114,36 nM,36 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0419,ChEMBL Murcko scaffold cluster,O=C(Nc1ccc2ncncc2c1)C(Cc1ccn(C2CC2)n1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCC(C2CC2)C1)C(C)CC1CCC2CCCCC2C1,ChEMBL activity records,CHEMBL6054705,40 nM,40 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0420,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@H](Cc1cc[nH]n1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL6041079,23 nM,23 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0421,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@@H](Cc1cc[nH]n1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5876874,8213 nM,8213 nM,Tier D,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0422,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)C(Cc1cn[nH]c1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5775463,70 nM,70 nM,Tier C,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
FXIA-SCAF-0423,ChEMBL Murcko scaffold cluster,O=C(Nc1ccccc1)[C@@H](Cc1cn[nH]c1)n1ccc(-c2ccccc2)cc1=O,CC1CC(C2CCCCC2)CCC1C(CC1CCCC1)C(C)CC1CCCCC1,ChEMBL activity records,CHEMBL5748239,8146 nM,8146 nM,Tier D,needs_verification,needs_verification,low_sar_depth,needs_patent_review,needs_verification,needs_verification,needs_verification,needs_verification,selectivity and assay context not yet reviewed,,hold_for_more_data,6 ChEMBL assay rows; 1 unique parent InChIKeys. Primary potency endpoints only used for activity tier.
