chunk,device,status,returncode,elapsed_sec,output_sdf,log
fxia_filtered_all_chunk_0018.sdf,1,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0018_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0018_gnina.log
fxia_filtered_all_chunk_0019.sdf,2,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0019_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0019_gnina.log
fxia_filtered_all_chunk_0020.sdf,3,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0020_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0020_gnina.log
fxia_filtered_all_chunk_0021.sdf,4,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0021_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0021_gnina.log
fxia_filtered_all_chunk_0022.sdf,5,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0022_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0022_gnina.log
fxia_filtered_all_chunk_0023.sdf,6,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0023_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0023_gnina.log
fxia_filtered_all_chunk_0024.sdf,7,skipped_existing,0,0.0,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0024_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0024_gnina.log
fxia_filtered_all_chunk_0025.sdf,0,ok,0,5437.125,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0025_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0025_gnina.log
fxia_filtered_all_chunk_0026.sdf,1,ok,0,5741.01,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0026_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0026_gnina.log
fxia_filtered_all_chunk_0027.sdf,2,ok,0,5768.607,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0027_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0027_gnina.log
