molecule_id,name,parent_smiles,activity_type,activity_nm,source_url,confidence,notes
CHEMBL4068445,,CN1CCC2(CCN(c3cccc4c3CCN(C(=O)/C=C/c3c(-n5cnnn5)ccc(Cl)c3F)[C@@H]4C(=O)Nc3ccc(C(=O)O)cc3)CC2)C1=O,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/18144734,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4083769,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/18264405,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5076656,,C[C@@H]1CCC[C@H](N2CCC(c3cc(Cl)ccc3-n3cc(Cl)nn3)=CC2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/24387454,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5934814,,O=C(O)c1ccc(NC(=O)C(CC2CC2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1F,IC50,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/27324011,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4108033,,C[C@@H]1CCC[C@H](N2CCC(c3c(-n4cnnn4)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2cc(F)c(F)cc2NC1=O,Ki,0.07,https://www.ebi.ac.uk/chembl/activity_report_card/27608891,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL3260339,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(Br)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/14642924,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6057268,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(F)ccc3-n3cnnn3)c[n+]1[O-])c1nc-2c[nH]1,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/27397601,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4115630,,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccc(NC(=O)OCCOC(C)(C)C)cc2NC1=O,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/27608405,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4110983,,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccc(NC(=O)OCCO)cc2NC1=O,Ki,0.08,https://www.ebi.ac.uk/chembl/activity_report_card/27608408,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5778140,,O=C1CCCC[C@H](c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])c2cccc(c2)-c2cc(F)ccc2N1,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27397169,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5777512,,COC(=O)Nc1ccc2c(c1)NC(=O)CC[C@@H](C)C[C@H](c1ccc(-c3c(F)cccc3OC(F)F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27397760,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4111429,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C#N)ccc(Cl)c3F)=CC1=O)c1cc-2cc(OC)n1,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27608324,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4106708,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3cc(Cl)ccc3C(F)(F)F)=CC1=O)c1cc-2ccn1,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27608354,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL3948120,,CC(C)[C@@H]1CCC[C@H](N2CCC(c3c(-n4cnnn4)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccccc2NC1=O,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27608546,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4113824,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C#N)ccc(C)c3F)=CC1=O)c1cc-2ccn1,Ki,0.09,https://www.ebi.ac.uk/chembl/activity_report_card/27608558,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4097304,,CN(C)C1CCN(c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)[C@@H]3C(=O)Nc2ccc(C(=O)O)cc2)CC1,Ki,0.098,https://www.ebi.ac.uk/chembl/activity_report_card/18144733,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4107758,,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C)NC1=O,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/17791795,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4115014,,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/17791797,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4113006,,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2ccnc(c2)-c2c(cnn2C)NC1=O,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/17791798,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5869576,,O=C(O)c1ccc(NC(=O)C(CC2CCC2)c2ccc(-c3c(C(F)F)ccc(Cl)c3F)c[n+]2[O-])cc1F,IC50,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/27038063,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6034229,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]1[O-])c1cccc-2c1,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/27397196,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5926090,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)cccc3F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/27397682,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4114933,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C(F)(F)F)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,Ki,0.1,https://www.ebi.ac.uk/chembl/activity_report_card/27608321,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
